,mean,std,median,count,t_stat
composite_score,0.06106405280053431,0.08315672752619062,0.0707919999504255,50.0,5.1924609236687225
mom_252_21,0.03919683080796507,0.08401642169802052,0.03671904229666302,50.0,3.2989199379324314
vol_20,-0.046549639163148866,0.14436693841226114,-0.04433437330348931,50.0,-2.2799933195268145
