date,nav
2025-06-23,1.0
2025-06-24,1.0165075188153467
2025-06-25,1.0168626479951548
2025-06-26,1.016049723323216
2025-06-27,1.0181033653231266
2025-06-30,1.0018202465282053
2025-07-01,1.00775209631028
2025-07-02,1.009641208669336
2025-07-03,1.0197305803925663
2025-07-04,1.0029450055139513
2025-07-07,0.9954443021291406
2025-07-08,0.9875973388949757
2025-07-09,0.9901240939932346
2025-07-10,0.9933029454745642
2025-07-11,1.0060703817198993
2025-07-14,0.9955512174012551
2025-07-15,1.0007649465446882
2025-07-16,1.0041090863029107
2025-07-17,1.018050882750875
2025-07-18,1.0148708882049131
2025-07-21,1.0150229398825954
2025-07-22,0.9948831318697449
2025-07-23,1.0097716539067179
2025-07-24,1.0162176147432134
2025-07-25,1.0138442202430873
2025-07-28,1.0215856168557607
2025-07-29,1.0167064442800078
2025-07-30,1.0222975074647291
2025-07-31,1.0153864153211032
2025-08-01,1.0180087350236773
2025-08-04,1.0187721779435823
2025-08-05,1.0231734131185175
2025-08-06,1.0217761411203745
2025-08-07,1.027034145971969
2025-08-08,1.0379679509027604
2025-08-11,1.0364554601699971
2025-08-12,1.0473343445359855
2025-08-13,1.0408460026372093
2025-08-14,1.033646394547235
2025-08-15,1.0418633010686615
2025-08-18,1.060026934068185
2025-08-19,1.060693953725189
2025-08-20,1.0444088475387097
2025-08-21,1.0531750406864413
2025-08-22,1.0447696433949505
2025-08-25,1.057093789317368
2025-08-26,1.0674719385439115
2025-08-27,1.070886675236632
2025-08-28,1.069806921851501
2025-08-29,1.0724149248169506
2025-09-01,1.0542819358509625
2025-09-02,1.0447358763424248
2025-09-03,1.0601626820180832
2025-09-04,1.062111502175635
2025-09-05,1.0662127684685507
2025-09-08,1.0776041173734119
2025-09-09,1.0708231731630125
2025-09-10,1.0606510991051261
2025-09-11,1.035305154246884
2025-09-12,1.0496940404073436
