phase,dataset,symbol,start,end,rows,files,status,elapsed
stock,prices,6238.TW,2025-09-22,2025-09-27,45453,1,OK,5.012
stock,prices,00835B.TW,2025-09-22,2025-09-27,45453,1,OK,5.017
stock,prices,5481.TW,2025-09-22,2025-09-27,45453,1,OK,5.101
stock,prices,5450.TW,2025-09-22,2025-09-27,45453,1,OK,5.23
stock,prices,3687.TW,2025-09-22,2025-09-27,45453,1,OK,5.255
stock,prices,3629.TW,2025-09-22,2025-09-27,45453,1,OK,5.695
stock,prices,00837B.TW,2025-09-22,2025-09-27,45453,1,OK,4.177
stock,prices,6497.TW,2025-09-22,2025-09-27,45453,1,OK,4.728
stock,prices,5349.TW,2025-09-22,2025-09-27,45453,1,OK,5.853
stock,prices,01009T.TW,2025-09-22,2025-09-27,45453,1,OK,5.623
stock,prices,01008T.TW,2025-09-22,2025-09-27,45453,1,OK,6.306
stock,prices,00798B.TW,2025-09-22,2025-09-27,45453,1,OK,6.836
stock,prices,01001T.TW,2025-09-22,2025-09-27,45453,1,OK,2.668
stock,prices,01007T.TW,2025-09-22,2025-09-27,45453,1,OK,3.025
stock,prices,01003T.TW,2025-09-22,2025-09-27,45453,1,OK,3.027
stock,prices,01005T.TW,2025-09-22,2025-09-27,45453,1,OK,3.756
stock,prices,01004T.TW,2025-09-22,2025-09-27,45453,1,OK,3.807
stock,prices,01002T.TW,2025-09-22,2025-09-27,45453,1,OK,4.476
stock,prices,710533.TW,2025-09-22,2025-09-27,45453,1,OK,3.803
stock,prices,710516.TW,2025-09-22,2025-09-27,45453,1,OK,3.187
stock,prices,710534.TW,2025-09-22,2025-09-27,45453,1,OK,5.441
stock,prices,710509.TW,2025-09-22,2025-09-27,45453,1,OK,3.422
stock,prices,710505.TW,2025-09-22,2025-09-27,45453,1,OK,3.085
stock,prices,710510.TW,2025-09-22,2025-09-27,45453,1,OK,4.343
stock,prices,710502.TW,2025-09-22,2025-09-27,45453,1,OK,3.058
stock,prices,709994.TW,2025-09-22,2025-09-27,45453,1,OK,3.194
stock,prices,710553.TW,2025-09-22,2025-09-27,45453,1,OK,3.602
stock,prices,709983.TW,2025-09-22,2025-09-27,45453,1,OK,3.027
stock,prices,709972.TW,2025-09-22,2025-09-27,45453,1,OK,3.225
stock,prices,709403.TW,2025-09-22,2025-09-27,45453,1,OK,3.67
stock,prices,708785.TW,2025-09-22,2025-09-27,45453,1,OK,3.113
stock,prices,710499.TW,2025-09-22,2025-09-27,45453,1,OK,3.223
stock,prices,709966.TW,2025-09-22,2025-09-27,45453,1,OK,4.713
stock,prices,709985.TW,2025-09-22,2025-09-27,45453,1,OK,3.044
stock,prices,710590.TW,2025-09-22,2025-09-27,45453,1,OK,3.094
stock,prices,710566.TW,2025-09-22,2025-09-27,45453,1,OK,2.754
stock,prices,73193P.TW,2025-09-22,2025-09-27,45453,1,OK,3.41
stock,prices,711145.TW,2025-09-22,2025-09-27,45453,1,OK,3.994
stock,prices,73107P.TW,2025-09-22,2025-09-27,45453,1,OK,4.207
stock,prices,711141.TW,2025-09-22,2025-09-27,45453,1,OK,3.672
stock,prices,711140.TW,2025-09-22,2025-09-27,45453,1,OK,3.334
stock,prices,711139.TW,2025-09-22,2025-09-27,45453,1,OK,3.846
stock,prices,711137.TW,2025-09-22,2025-09-27,45453,1,OK,3.002
stock,prices,711135.TW,2025-09-22,2025-09-27,45453,1,OK,2.939
stock,prices,711134.TW,2025-09-22,2025-09-27,45453,1,OK,3.562
stock,prices,711133.TW,2025-09-22,2025-09-27,45453,1,OK,3.826
stock,prices,711132.TW,2025-09-22,2025-09-27,45453,1,OK,3.864
stock,prices,711127.TW,2025-09-22,2025-09-27,45453,1,OK,3.397
stock,prices,711126.TW,2025-09-22,2025-09-27,45453,1,OK,3.498
stock,prices,710575.TW,2025-09-22,2025-09-27,45453,1,OK,3.262
stock,prices,710560.TW,2025-09-22,2025-09-27,45453,1,OK,3.425
stock,prices,710569.TW,2025-09-22,2025-09-27,45453,1,OK,4.049
stock,prices,711131.TW,2025-09-22,2025-09-27,45453,1,OK,3.44
stock,prices,710561.TW,2025-09-22,2025-09-27,45453,1,OK,3.737
stock,prices,8934.TW,2025-09-22,2025-09-27,45453,1,OK,3.918
stock,prices,5304.TW,2025-09-22,2025-09-27,45453,1,OK,3.472
stock,prices,00833B.TW,2025-09-22,2025-09-27,45453,1,OK,2.901
stock,prices,00855B.TW,2025-09-22,2025-09-27,45453,1,OK,3.301
stock,prices,00854B.TW,2025-09-22,2025-09-27,45453,1,OK,3.885
stock,prices,00874B.TW,2025-09-22,2025-09-27,45453,1,OK,3.422
stock,prices,6438.TW,2025-09-22,2025-09-27,45453,1,OK,4.184
stock,prices,00873B.TW,2025-09-22,2025-09-27,45453,1,OK,3.511
stock,prices,00871B.TW,2025-09-22,2025-09-27,45453,1,OK,3.178
stock,prices,00868B.TW,2025-09-22,2025-09-27,45453,1,OK,3.036
stock,prices,3450.TW,2025-09-22,2025-09-27,45453,1,OK,3.568
stock,prices,6165.TW,2025-09-22,2025-09-27,45453,1,OK,2.828
stock,prices,2241.TW,2025-09-22,2025-09-27,45453,1,OK,3.611
stock,prices,2459.TW,2025-09-22,2025-09-27,45453,1,OK,3.675
stock,prices,3669.TW,2025-09-22,2025-09-27,45453,1,OK,4.409
stock,prices,1443.TW,2025-09-22,2025-09-27,45453,1,OK,3.14
stock,prices,8499.TW,2025-09-22,2025-09-27,45453,1,OK,2.995
stock,prices,2429.TW,2025-09-22,2025-09-27,45453,1,OK,3.437
stock,prices,1456.TW,2025-09-22,2025-09-27,45453,1,OK,2.695
stock,prices,2614.TW,2025-09-22,2025-09-27,45453,1,OK,2.677
stock,prices,1453.TW,2025-09-22,2025-09-27,45453,1,OK,3.684
stock,prices,020017.TW,2025-09-22,2025-09-27,45453,1,OK,4.104
stock,prices,3313.TW,2025-09-22,2025-09-27,45453,1,OK,3.607
stock,prices,5345.TW,2025-09-22,2025-09-27,45453,1,OK,3.558
stock,prices,8489.TW,2025-09-22,2025-09-27,45453,1,OK,3.662
stock,prices,8354.TW,2025-09-22,2025-09-27,45453,1,OK,3.854
stock,prices,3219.TW,2025-09-22,2025-09-27,45453,1,OK,2.888
stock,prices,5604.TW,2025-09-22,2025-09-27,45453,1,OK,2.996
stock,prices,6275.TW,2025-09-22,2025-09-27,45453,1,OK,4.166
stock,prices,3685.TW,2025-09-22,2025-09-27,45453,1,OK,3.005
stock,prices,00839B.TW,2025-09-22,2025-09-27,45453,1,OK,2.663
stock,prices,6506.TW,2025-09-22,2025-09-27,45453,1,OK,5.014
stock,prices,00869B.TW,2025-09-22,2025-09-27,45453,1,OK,3.545
stock,prices,00832B.TW,2025-09-22,2025-09-27,45453,1,OK,3.136
stock,prices,4152.TW,2025-09-22,2025-09-27,45453,1,OK,3.329
stock,prices,00879B.TW,2025-09-22,2025-09-27,45453,1,OK,3.309
stock,prices,00880B.TW,2025-09-22,2025-09-27,45453,1,OK,3.966
stock,prices,00872B.TW,2025-09-22,2025-09-27,45453,1,OK,3.207
stock,prices,3144.TW,2025-09-22,2025-09-27,45453,1,OK,3.171
stock,prices,2928.TW,2025-09-22,2025-09-27,45453,1,OK,3.619
stock,prices,4803.TW,2025-09-22,2025-09-27,45453,1,OK,3.105
stock,prices,020021.TW,2025-09-22,2025-09-27,45453,1,OK,3.085
stock,prices,020003.TW,2025-09-22,2025-09-27,45453,1,OK,3.237
stock,prices,020009.TW,2025-09-22,2025-09-27,45453,1,OK,3.162
stock,prices,8406.TW,2025-09-22,2025-09-27,45453,1,OK,4.511
stock,prices,4429.TW,2025-09-22,2025-09-27,45453,1,OK,3.602
stock,prices,2495.TW,2025-09-22,2025-09-27,45453,1,OK,3.234
stock,prices,6431.TW,2025-09-22,2025-09-27,45453,1,OK,2.837
stock,prices,2340.TW,2025-09-22,2025-09-27,45453,1,OK,2.617
stock,prices,00838B.TW,2025-09-22,2025-09-27,45453,1,OK,3.576
stock,prices,3512.TW,2025-09-22,2025-09-27,45453,1,OK,3.628
stock,prices,5321.TW,2025-09-22,2025-09-27,45453,1,OK,3.843
stock,prices,5209.TW,2025-09-22,2025-09-27,45453,1,OK,3.558
stock,prices,8080.TW,2025-09-22,2025-09-27,45453,1,OK,4.097
stock,prices,00889B.TW,2025-09-22,2025-09-27,45453,1,OK,3.335
stock,prices,5102.TW,2025-09-22,2025-09-27,45453,1,OK,3.159
stock,prices,00843B.TW,2025-09-22,2025-09-27,45453,1,OK,3.467
stock,prices,00796B.TW,2025-09-22,2025-09-27,45453,1,OK,3.523
stock,prices,5820.TW,2025-09-22,2025-09-27,45453,1,OK,3.679
stock,prices,020010.TW,2025-09-22,2025-09-27,45453,1,OK,4.183
stock,prices,00745B.TW,2025-09-22,2025-09-27,45453,1,OK,3.365
stock,prices,3642.TW,2025-09-22,2025-09-27,45453,1,OK,4.478
stock,prices,020013.TW,2025-09-22,2025-09-27,45453,1,OK,3.305
stock,prices,02003L.TW,2025-09-22,2025-09-27,45453,1,OK,3.031
stock,prices,00747B.TW,2025-09-22,2025-09-27,45453,1,OK,2.781
stock,prices,020014.TW,2025-09-22,2025-09-27,45453,1,OK,3.031
stock,prices,6247.TW,2025-09-22,2025-09-27,45453,1,OK,3.913
stock,prices,00748B.TW,2025-09-22,2025-09-27,45453,1,OK,3.922
stock,prices,6869.TW,2025-09-22,2025-09-27,45453,1,OK,3.928
stock,prices,2432.TW,2025-09-22,2025-09-27,45453,1,OK,3.394
stock,prices,6873.TW,2025-09-22,2025-09-27,45453,1,OK,5.627
stock,prices,6594.TW,2025-09-22,2025-09-27,45453,1,OK,4.641
stock,prices,00765B.TW,2025-09-22,2025-09-27,45453,1,OK,2.873
stock,prices,1258.TW,2025-09-22,2025-09-27,45453,1,OK,3.451
stock,prices,2726.TW,2025-09-22,2025-09-27,45453,1,OK,3.177
stock,prices,2727.TW,2025-09-22,2025-09-27,45453,1,OK,3.136
stock,prices,2937.TW,2025-09-22,2025-09-27,45453,1,OK,4.026
stock,prices,2754.TW,2025-09-22,2025-09-27,45453,1,OK,3.588
stock,prices,8044.TW,2025-09-22,2025-09-27,45453,1,OK,3.389
stock,prices,2753.TW,2025-09-22,2025-09-27,45453,1,OK,3.181
stock,prices,2755.TW,2025-09-22,2025-09-27,45453,1,OK,4.882
stock,prices,2724.TW,2025-09-22,2025-09-27,45453,1,OK,3.398
stock,prices,5364.TW,2025-09-22,2025-09-27,45453,1,OK,2.678
stock,prices,2722.TW,2025-09-22,2025-09-27,45453,1,OK,3.589
stock,prices,8462.TW,2025-09-22,2025-09-27,45453,1,OK,4.526
stock,prices,2752.TW,2025-09-22,2025-09-27,45453,1,OK,4.273
stock,prices,2743.TW,2025-09-22,2025-09-27,45453,1,OK,4.337
stock,prices,2701.TW,2025-09-22,2025-09-27,45453,1,OK,3.996
stock,prices,2740.TW,2025-09-22,2025-09-27,45453,1,OK,3.083
stock,prices,2745.TW,2025-09-22,2025-09-27,45453,1,OK,4.673
stock,prices,2947.TW,2025-09-22,2025-09-27,45453,1,OK,3.176
stock,prices,2739.TW,2025-09-22,2025-09-27,45453,1,OK,3.041
stock,prices,8472.TW,2025-09-22,2025-09-27,45453,1,OK,4.166
stock,prices,2702.TW,2025-09-22,2025-09-27,45453,1,OK,3.714
stock,prices,2704.TW,2025-09-22,2025-09-27,45453,1,OK,3.133
stock,prices,2736.TW,2025-09-22,2025-09-27,45453,1,OK,3.118
stock,prices,2705.TW,2025-09-22,2025-09-27,45453,1,OK,3.802
stock,prices,2706.TW,2025-09-22,2025-09-27,45453,1,OK,3.566
stock,prices,2734.TW,2025-09-22,2025-09-27,45453,1,OK,2.623
stock,prices,8077.TW,2025-09-22,2025-09-27,45453,1,OK,3.756
stock,prices,2707.TW,2025-09-22,2025-09-27,45453,1,OK,3.686
stock,prices,2712.TW,2025-09-22,2025-09-27,45453,1,OK,3.716
stock,prices,2718.TW,2025-09-22,2025-09-27,45453,1,OK,3.318
stock,prices,2719.TW,2025-09-22,2025-09-27,45453,1,OK,3.181
stock,prices,2732.TW,2025-09-22,2025-09-27,45453,1,OK,3.855
stock,prices,8433.TW,2025-09-22,2025-09-27,45453,1,OK,2.807
stock,prices,5278.TW,2025-09-22,2025-09-27,45453,1,OK,4.388
stock,prices,5287.TW,2025-09-22,2025-09-27,45453,1,OK,3.024
stock,prices,2731.TW,2025-09-22,2025-09-27,45453,1,OK,4.356
stock,prices,2748.TW,2025-09-22,2025-09-27,45453,1,OK,4.036
stock,prices,2729.TW,2025-09-22,2025-09-27,45453,1,OK,3.75
stock,prices,2723.TW,2025-09-22,2025-09-27,45453,1,OK,3.109
stock,prices,8477.TW,2025-09-22,2025-09-27,45453,1,OK,2.513
stock,prices,5301.TW,2025-09-22,2025-09-27,45453,1,OK,3.375
stock,prices,1259.TW,2025-09-22,2025-09-27,45453,1,OK,3.443
stock,prices,2756.TW,2025-09-22,2025-09-27,45453,1,OK,3.514
stock,prices,8066.TW,2025-09-22,2025-09-27,45453,1,OK,3.649
stock,prices,5904.TW,2025-09-22,2025-09-27,45453,1,OK,4.063
stock,prices,1268.TW,2025-09-22,2025-09-27,45453,1,OK,3.901
stock,prices,8941.TW,2025-09-22,2025-09-27,45453,1,OK,3.453
stock,prices,5903.TW,2025-09-22,2025-09-27,45453,1,OK,2.973
stock,prices,8940.TW,2025-09-22,2025-09-27,45453,1,OK,3.309
stock,prices,6728.TW,2025-09-22,2025-09-27,45453,1,OK,3.815
stock,prices,5703.TW,2025-09-22,2025-09-27,45453,1,OK,3.453
stock,prices,5701.TW,2025-09-22,2025-09-27,45453,1,OK,3.72
stock,prices,5704.TW,2025-09-22,2025-09-27,45453,1,OK,3.08
stock,prices,2916.TW,2025-09-22,2025-09-27,45453,1,OK,3.401
stock,prices,5706.TW,2025-09-22,2025-09-27,45453,1,OK,3.043
stock,prices,4804.TW,2025-09-22,2025-09-27,45453,1,OK,3.17
stock,prices,3522.TW,2025-09-22,2025-09-27,45453,1,OK,3.118
stock,prices,6763.TW,2025-09-22,2025-09-27,45453,1,OK,3.563
stock,prices,3252.TW,2025-09-22,2025-09-27,45453,1,OK,3.695
stock,prices,9960.TW,2025-09-22,2025-09-27,45453,1,OK,3.472
stock,prices,6195.TW,2025-09-22,2025-09-27,45453,1,OK,2.863
stock,prices,9943.TW,2025-09-22,2025-09-27,45453,1,OK,3.293
stock,prices,6741.TW,2025-09-22,2025-09-27,45453,1,OK,2.786
stock,prices,2924.TW,2025-09-22,2025-09-27,45453,1,OK,3.254
stock,prices,3171.TW,2025-09-22,2025-09-27,45453,1,OK,3.543
stock,prices,3085.TW,2025-09-22,2025-09-27,45453,1,OK,4.211
stock,prices,5905.TW,2025-09-22,2025-09-27,45453,1,OK,3.828
stock,prices,2442.TW,2025-09-22,2025-09-27,45453,1,OK,3.698
stock,prices,5902.TW,2025-09-22,2025-09-27,45453,1,OK,4.341
stock,prices,6754.TW,2025-09-22,2025-09-27,45453,1,OK,3.441
stock,prices,9904.TW,2025-09-22,2025-09-27,45453,1,OK,2.625
stock,prices,1736.TW,2025-09-22,2025-09-27,45453,1,OK,3.328
stock,prices,8473.TW,2025-09-22,2025-09-27,45453,1,OK,3.316
stock,prices,9910.TW,2025-09-22,2025-09-27,45453,1,OK,4.389
stock,prices,9802.TW,2025-09-22,2025-09-27,45453,1,OK,3.135
stock,prices,6641.TW,2025-09-22,2025-09-27,45453,1,OK,4.107
stock,prices,9911.TW,2025-09-22,2025-09-27,45453,1,OK,4.26
stock,prices,6807.TW,2025-09-22,2025-09-27,45453,1,OK,2.677
stock,prices,9955.TW,2025-09-22,2025-09-27,45453,1,OK,4.665
stock,prices,6806.TW,2025-09-22,2025-09-27,45453,1,OK,4.004
stock,prices,9935.TW,2025-09-22,2025-09-27,45453,1,OK,4.137
stock,prices,8438.TW,2025-09-22,2025-09-27,45453,1,OK,3.012
stock,prices,9934.TW,2025-09-22,2025-09-27,45453,1,OK,3.486
stock,prices,8341.TW,2025-09-22,2025-09-27,45453,1,OK,2.853
stock,prices,9930.TW,2025-09-22,2025-09-27,45453,1,OK,3.604
stock,prices,8467.TW,2025-09-22,2025-09-27,45453,1,OK,3.053
stock,prices,2424.TW,2025-09-22,2025-09-27,45453,1,OK,4.072
stock,prices,9924.TW,2025-09-22,2025-09-27,45453,1,OK,3.776
stock,prices,4536.TW,2025-09-22,2025-09-27,45453,1,OK,3.035
stock,prices,3130.TW,2025-09-22,2025-09-27,45453,1,OK,4.586
stock,prices,9921.TW,2025-09-22,2025-09-27,45453,1,OK,3.452
stock,prices,8454.TW,2025-09-22,2025-09-27,45453,1,OK,3.123
stock,prices,2062.TW,2025-09-22,2025-09-27,45453,1,OK,2.761
stock,prices,6768.TW,2025-09-22,2025-09-27,45453,1,OK,3.817
stock,prices,8464.TW,2025-09-22,2025-09-27,45453,1,OK,4.023
stock,prices,8422.TW,2025-09-22,2025-09-27,45453,1,OK,3.784
stock,prices,9914.TW,2025-09-22,2025-09-27,45453,1,OK,4.63
stock,prices,1472.TW,2025-09-22,2025-09-27,45453,1,OK,3.961
stock,prices,3054.TW,2025-09-22,2025-09-27,45453,1,OK,3.35
stock,prices,6581.TW,2025-09-22,2025-09-27,45453,1,OK,3.369
stock,prices,6671.TW,2025-09-22,2025-09-27,45453,1,OK,4.227
stock,prices,1432.TW,2025-09-22,2025-09-27,45453,1,OK,3.753
stock,prices,5306.TW,2025-09-22,2025-09-27,45453,1,OK,3.809
