dataset,partition,file,rows,ok,missing_cols
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-01ff076475be4d69aa63add5d48a069d.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-021478941d884cc1ae875f52c995ebcc.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-02149861b38847178ebf44b83e085a03.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-02285b4e1a634f90a0c6f31236cdbf20.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-022a6fda707f426c8629f07c773891b3.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-022b5acd272c456f99ffd720784e0610.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-02438251e0f94eb494c23d447e622583.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-024863123af243b1891651f005589f97.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-025f64ed7dfc4f4a877e5743f08ef65c.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-026fb5d26e61403d954c79f9a4b4125e.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-02736bf044cf472fb7307ef976c9b96a.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-0285c36616f34d389e36b26d7595c85e.parquet,1,True,
prices,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\prices\yyyymm=202509\batch-02884814eebe477fabdccf9eb17155f6.parquet,1,True,
chip,yyyymm=202509,C:\AI\tw-alpha-stack\datahub\silver\alpha\chip\yyyymm=202509\batch-14b48d2bb8434a88ad5a78392e952b2e.parquet,1,True,
