phase,dataset,symbol,start,end,rows,files,status,elapsed
stock,prices,2454.TW,2025-01-01,2025-09-28,0,0,EMPTY,0.463
stock,prices,2832.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.627
stock,prices,2910.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.501
stock,prices,3213.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.638
stock,prices,3346.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.647
stock,prices,3661.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.743
stock,prices,4304.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.636
stock,prices,4535.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.498
stock,prices,4582.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.799
stock,prices,4768.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.638
stock,prices,4927.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.5
stock,prices,5013.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.637
stock,prices,5292.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.836
stock,prices,5353.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.502
stock,prices,5488.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.549
stock,prices,5489.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.743
stock,prices,6160.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.51
stock,prices,6207.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.768
stock,prices,6277.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.512
stock,prices,6516.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.629
stock,prices,6561.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.599
stock,prices,6626.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.673
stock,prices,6637.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.719
stock,prices,6665.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.664
stock,prices,6952.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.482
stock,prices,7716.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.638
stock,prices,8047.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.641
stock,prices,8086.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.84
stock,prices,8917.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.435
stock,prices,8934.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.651
stock,prices,9943.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.628
stock,prices,9944.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.704
stock,chip,1307.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.813
stock,chip,1313.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.463
stock,chip,1468.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.546
stock,chip,1783.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.742
stock,chip,1817.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.62
stock,chip,2020.TW,2025-01-01,2025-09-28,0,0,EMPTY,12.661
