path,checked_rows,violations
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202408\batch-e55019f7b6d1becb.parquet,205,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202408\batch-e5a3b7034f43f7ce.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202409\batch-be6a25a7d92183d1.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202409\batch-d5b8f806bc2a2361.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202410\batch-67d68c53cb6a5f2f.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202410\batch-c92c8ce861de0d0c.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202411\batch-54623b9125877840.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202411\batch-bdfe0e54b32895b7.parquet,205,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202412\batch-465cc5ca605c0f72.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202412\batch-b01a3bfd002ef101.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202501\batch-60c6ef0e8cefa831.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202501\batch-d992a8d6e92ce17c.parquet,205,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202502\batch-30a67bbc39d0df58.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202502\batch-53e0bcd464926fca.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202503\batch-1d6b6175acb6e2af.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202503\batch-fbde4ceb9d321968.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202504\batch-27b378d8dc2ea320.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202504\batch-a82d13c29bb83d67.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202505\batch-2dbb4fd4c50afb24.parquet,205,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202505\batch-bd93e216e580994e.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202506\batch-76577618e78473a2.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202506\batch-8644f3ed624544f3.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202507\batch-41d5f1a0c875db0c.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202507\batch-a33f07585fbc0d76.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202508\batch-ad262a284069958a.parquet,520,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202508\batch-e2e08d1462522f3f.parquet,205,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202509\batch-622a84c884870202.parquet,164,0
C:\AI\tw-alpha-stack\datahub\silver\alpha\fundamentals_weekly\yyyymm=202509\batch-d2d8f48743340fe4.parquet,520,0
