phase,dataset,symbol,start,end,rows,files,status,elapsed
stock,prices,2454.TW,2025-09-01,2025-09-28,45325,1,OK,4.63
stock,prices,2832.TW,2025-09-01,2025-09-28,45325,1,OK,4.294
stock,prices,2910.TW,2025-09-01,2025-09-28,45325,1,OK,6.732
stock,prices,3213.TW,2025-09-01,2025-09-28,45325,1,OK,6.226
stock,prices,3346.TW,2025-09-01,2025-09-28,45325,1,OK,5.93
stock,prices,3661.TW,2025-09-01,2025-09-28,45325,1,OK,6.679
stock,prices,4304.TW,2025-09-01,2025-09-28,45325,1,OK,6.611
stock,prices,4535.TW,2025-09-01,2025-09-28,45325,1,OK,6.255
stock,prices,4582.TW,2025-09-01,2025-09-28,45325,1,OK,7.084
stock,prices,4768.TW,2025-09-01,2025-09-28,45325,1,OK,6.571
stock,prices,4927.TW,2025-09-01,2025-09-28,45325,1,OK,5.221
stock,prices,5013.TW,2025-09-01,2025-09-28,45325,1,OK,5.849
stock,prices,5292.TW,2025-09-01,2025-09-28,45325,1,OK,6.883
stock,prices,5353.TW,2025-09-01,2025-09-28,45325,1,OK,5.892
stock,prices,5488.TW,2025-09-01,2025-09-28,45325,1,OK,6.747
stock,prices,5489.TW,2025-09-01,2025-09-28,45325,1,OK,5.801
stock,prices,6160.TW,2025-09-01,2025-09-28,45325,1,OK,6.393
stock,prices,6207.TW,2025-09-01,2025-09-28,45325,1,OK,6.742
stock,prices,6277.TW,2025-09-01,2025-09-28,45325,1,OK,5.838
stock,prices,6516.TW,2025-09-01,2025-09-28,45325,1,OK,6.946
stock,prices,6561.TW,2025-09-01,2025-09-28,45325,1,OK,6.201
stock,prices,6626.TW,2025-09-01,2025-09-28,45325,1,OK,6.025
stock,prices,6637.TW,2025-09-01,2025-09-28,45325,1,OK,6.596
stock,prices,6665.TW,2025-09-01,2025-09-28,45325,1,OK,6.305
stock,prices,6952.TW,2025-09-01,2025-09-28,45325,1,OK,6.09
stock,prices,7716.TW,2025-09-01,2025-09-28,45325,1,OK,6.235
stock,prices,8047.TW,2025-09-01,2025-09-28,45325,1,OK,6.218
stock,prices,8086.TW,2025-09-01,2025-09-28,45325,1,OK,6.931
stock,prices,8917.TW,2025-09-01,2025-09-28,45325,1,OK,5.722
stock,prices,8934.TW,2025-09-01,2025-09-28,45325,1,OK,7.89
stock,prices,9943.TW,2025-09-01,2025-09-28,45325,1,OK,5.318
stock,prices,9944.TW,2025-09-01,2025-09-28,45325,1,OK,6.341
