phase,dataset,symbol,start,end,rows,files,status,elapsed
stock,per,5355.TW,2024-01-01,2025-09-28,0,0,EMPTY,2.741
stock,per,5351.TW,2024-01-01,2025-09-28,0,0,EMPTY,2.742
stock,per,5371.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.145
stock,per,5356.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.161
stock,per,5386.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.167
stock,per,5381.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.195
stock,per,5392.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.159
stock,per,5388.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.18
stock,per,5403.TW,2024-01-01,2025-09-28,0,0,EMPTY,2.998
stock,per,5398.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.033
stock,per,5425.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.156
stock,per,5410.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.295
stock,per,5426.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.283
stock,per,5434.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.172
stock,per,5344.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.031
stock,per,5274.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.155
stock,per,5340.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.17
stock,per,5324.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.074
stock,per,5284.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.148
stock,per,5283.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.273
stock,per,5285.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.137
stock,per,5288.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.169
stock,per,5289.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.195
stock,per,5291.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.069
stock,per,5299.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.214
stock,per,5297.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.235
stock,per,5302.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.121
stock,per,5309.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.196
stock,per,5312.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.164
stock,per,5310.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.26
stock,per,5328.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.043
stock,per,5315.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.045
stock,per,5009.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.224
stock,per,4999.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.237
stock,per,4907.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.06
stock,per,4906.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.074
stock,per,4909.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.162
stock,per,4908.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.165
stock,per,4911.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.166
stock,per,4912.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.21
stock,per,4915.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.153
stock,per,4916.TW,2024-01-01,2025-09-28,0,0,EMPTY,3.218
