run_dir,status,cmd,factors,topN,fees_bps,tax_bps
_smoketest\_grid\fac=G__AI_datahub_alpha_alpha_factors_fixed.parquet__topN=10__fees=2.5__tax=30\20250928-020957-6de88e,ok,python backtest/longonly_topN.py --factors G:/AI/datahub/alpha/alpha_factors_fixed.parquet --out-dir _smoketest/_grid/fac=G__AI_datahub_alpha_alpha_factors_fixed.parquet__topN=10__fees=2.5__tax=30/20250928-020957-6de88e --config configs/backtest_topN_fixed.yaml ,G:/AI/datahub/alpha/alpha_factors_fixed.parquet,10,2.5,30
_smoketest\_grid\fac=G__AI_datahub_alpha_alpha_factors_fixed.parquet__topN=30__fees=2.5__tax=30\20250928-021000-15aa60,ok,python backtest/longonly_topN.py --factors G:/AI/datahub/alpha/alpha_factors_fixed.parquet --out-dir _smoketest/_grid/fac=G__AI_datahub_alpha_alpha_factors_fixed.parquet__topN=30__fees=2.5__tax=30/20250928-021000-15aa60 --config configs/backtest_topN_fixed.yaml ,G:/AI/datahub/alpha/alpha_factors_fixed.parquet,30,2.5,30
